ダウンロード実行日,2026年08月08日現在,件数,6369件
ファンドコード,証券コード,ファンド名,ファンド名（ヨミ）,特定有価証券区分名,特定期1,特定期2,ＥＤＩＮＥＴコード,発行者名
"G15563","","インデックスオープン・アメリカ株式","インデックスオープンアメリカカブシキ","内国投資信託受益証券","4月15日","","E10677","アセットマネジメントＯｎｅ株式会社"
"G15564","","インデックスオープン・世界株式","インデックスオープンセカイカブシキ","内国投資信託受益証券","7月15日","","E10677","アセットマネジメントＯｎｅ株式会社"
"G15565","","インデックスオープン・先進国株式","インデックスオープンセンシンコクカブシキ","内国投資信託受益証券","7月15日","","E10677","アセットマネジメントＯｎｅ株式会社"
"G15566","","日興ワールド・トラスト－アレス・ストラテジック・インカム・ファンド","ニッコウワールドトラストアレスストラテジックインカムファンド","外国投資信託受益証券","2月末日","","E14853","ＳＭＢＣ日興インベストメント・ファンド・マネジメント・カンパニー・エス・エイ"
"G15567","","三菱ＵＦＪ　資産配分最適化バランス（Ｒ１）／（Ｒ２）／（Ｒ３）／（Ｒ４）／（Ｒ５）","ミツビシユーエフジェイシサンハイブンサイテキカバランスアールイチアールニアールサンアールヨンアールゴ","内国投資信託受益証券","1月26日","","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G15568","392A0","ｉシェアーズ　ＮＡＳＤＡＱ　トップ　３０　ＥＴＦ","アイシェアーズ　ナスダック　トップ　サンジュウ　イーティーエフ","内国投資信託受益証券","2月9日","8月9日","E09096","ブラックロック・ジャパン株式会社"
"G15570","","ＧＳ　Ｐｌｕｓ全世界株式（オ―ル・カントリー）","ジーエス　プラス　ゼンセカイカブシキ　オールカントリー","内国投資信託受益証券","4月20日","","E12457","ゴールドマン・サックス・アセット・マネジメント株式会社"
"G15571","","楽天・ターゲットイヤー２０５５／楽天・ターゲットイヤー２０６０","ラクテン　ターゲットイヤーニセンゴジュウゴ　ラクテン　ターゲットイヤーニセンロクジュウ","内国投資信託受益証券","9月20日","","E15787","楽天投信投資顧問株式会社"
"G15572","","ニッセイ投資適格社債ファンド２０２５－０８（為替ヘッジあり・４年投資型）","ニッセイトウシテキカクシャサイファンドニゼロニゴゼロハチカワセヘッジアリヨネントウシガタ","内国投資信託受益証券","12月5日","","E12453","ニッセイアセットマネジメント株式会社"
"G15573","","Ｍｙ　ＳＭＴ　ラッセル２０００米国中小型株式インデックス（ノーロード）","マイ　エスエムティー　ラッセルニセンベイコクチュウコガタカブシキインデックス　ノーロード","内国投資信託受益証券","6月20日","","E12444","三井住友トラスト・アセットマネジメント株式会社"
"G15574","","ＦＷニッセイゴールドファンド","エフダブリュニッセイゴールドファンド","内国投資信託受益証券","12月10日","","E12453","ニッセイアセットマネジメント株式会社"
"G15575","","Ｍｙ　ＳＭＴ　ラッセル３０００全米株式インデックス（ノーロード）","マイ　エスエムティー　ラッセルサンゼンゼンベイカブシキインデックス　ノーロード","内国投資信託受益証券","6月20日","","E12444","三井住友トラスト・アセットマネジメント株式会社"
"G15576","","暗号資産関連株式ファンド","アンゴウシサンカンレンカブシキファンド","内国投資信託受益証券","7月10日","","E10677","アセットマネジメントＯｎｅ株式会社"
"G15578","394A0","業界改革厳選ＥＴＦテレビ業界","ギョウカイカイカクゲンセンイーティーエフテレビギョウカイ","内国投資信託受益証券","7月12日","","E14415","シンプレクス・アセット・マネジメント株式会社"
"G15579","395A0","業界改革厳選ＥＴＦ地銀","ギョウカイカイカクゲンセンイーティーエフチギン","内国投資信託受益証券","7月12日","","E14415","シンプレクス・アセット・マネジメント株式会社"
"G15580","396A0","業界改革厳選ＥＴＦ　ＲＥＩＴイベント・ドリブン","ギョウカイカイカクゲンセンイーティーエフ　リートイベント　ドリブン","内国投資信託受益証券","1月12日","7月12日","E14415","シンプレクス・アセット・マネジメント株式会社"
"G15581","","楽天・高配当株式・日本ファンド（資産成長型）","ラクテン　コウハイトウカブシキ　ニホンファンド　シサンセイチョウガタ","内国投資信託受益証券","6月25日","","E15787","楽天投信投資顧問株式会社"
"G15582","","楽天・オールカントリー株式（除く日本）インデックス・ファンド","ラクテン　オールカントリーカブシキ　ノゾクニホン　インデックス　ファンド","内国投資信託受益証券","7月15日","","E15787","楽天投信投資顧問株式会社"
"G15583","","楽天・エマージング株式インデックス・ファンド","ラクテン　エマージングカブシキインデックス　ファンド","内国投資信託受益証券","7月15日","","E15787","楽天投信投資顧問株式会社"
"G15584","","楽天・シュワブ・高配当株式・米国ファンド（資産成長型）","ラクテン　シュワブ　コウハイトウカブシキ　ベイコクファンド　シサンセイチョウガタ","内国投資信託受益証券","8月25日","","E15787","楽天投信投資顧問株式会社"
"G15585","","Ｏｎｅ／ウエリントン・コントラリアン・バリュー・ファンド","ワンウエリントンコントラリアンバリューファンド","内国投資信託受益証券","8月1日","","E10677","アセットマネジメントＯｎｅ株式会社"
"G15586","","ＳＢＩ・Ｖ・全世界株式（除く米国）ファンド","エスビーアイ　ヴィ　ゼンセカイカブシキ　ノゾクベイコク　ファンド","内国投資信託受益証券","7月20日","","E13447","ＳＢＩアセットマネジメント株式会社"
"G15587","","ＪＡバンクよりそいノーロード日本株式　日経２２５","ジェイエイバンクヨリソイノーロードニホンカブシキ　ニッケイニイニイゴ","内国投資信託受益証券","11月15日","","E12882","農林中金全共連アセットマネジメント株式会社"
"G15588","","ＪＡバンクよりそいノーロード米国株式　Ｓ＆Ｐ５００","ジェイエイバンクヨリソイノーロードベイコクカブシキ　エスアンドピーゴヒャク","内国投資信託受益証券","11月15日","","E12882","農林中金全共連アセットマネジメント株式会社"
"G15589","","ＪＡバンクよりそいノーロード全世界株式","ジェイエイバンクヨリソイノーロードゼンセカイカブシキ","内国投資信託受益証券","4月25日","","E12882","農林中金全共連アセットマネジメント株式会社"
"G15590","","ＪＡバンクよりそいノーロード先進国株式（除く日本）","ジェイエイバンクヨリソイノーロードセンシンコクカブシキ　ノゾクニホン","内国投資信託受益証券","4月25日","","E12882","農林中金全共連アセットマネジメント株式会社"
"G15591","","ＪＡバンクよりそいノーロード新興国株式","ジェイエイバンクヨリソイノーロードシンコウコクカブシキ","内国投資信託受益証券","4月25日","","E12882","農林中金全共連アセットマネジメント株式会社"
"G15592","399A0","上場インデックスファンド日経平均高配当株５０","ジョウジョウインデックスファンドニッケイヘイキンコウハイトウカブゴジュウ","内国投資信託受益証券","4月4日","10月4日","E12430","アモーヴァ・アセットマネジメント株式会社"
"G15593","","にいがた未来応援アジア・パシフィック株式ファンド","ニイガタミライオウエンアジアパシフィックカブシキファンド","内国投資信託受益証券","6月15日","","E12448","明治安田アセットマネジメント株式会社"
"G15594","","ＧＳグローバル（除く米国）割安高配当株式ファンド　年４回決算コース","ジーエスグローバルノゾクベイコクワリヤスコウハイトウカブシキファンドネンヨンカイケッサンコース","内国投資信託受益証券","1月20日","7月20日","E12457","ゴールドマン・サックス・アセット・マネジメント株式会社"
"G15595","","ＧＳグローバル（除く米国）割安高配当株式ファンド　年１回決算コース","ジーエスグローバルノゾクベイコクワリヤスコウハイトウカブシキファンドネンイッカイケッサンコース","内国投資信託受益証券","1月20日","","E12457","ゴールドマン・サックス・アセット・マネジメント株式会社"
"G15596","","ａｕＡＭレバレッジ・ハンセン・中国ファンド（円コース）／ａｕＡＭレバレッジ・ハンセン・中国ファンド（香港ドルコース）","エーユーエーエムレバレッジハンセンチュウゴクファンドエンコース　エーユーエーエムレバレッジハンセンチュウゴクファンドホンコンドルコース","内国投資信託受益証券","8月21日","","E34254","ａｕアセットマネジメント株式会社"
"G15597","","米ドル建ＨＳＢＣ社債／欧州株式戦略ファンド（早期償還条項付）２０２５－０８","ベイドルダテエイチエスビーシーシャサイオウシュウカブシキセンリャクファンドソウキショウカンジョウコウツキニゼロニゴゼロハチ","内国投資信託受益証券","10月20日","","E12434","ＳＯＭＰＯアセットマネジメント株式会社"
"G15598","","ｉＦｒｅｅＮＥＸＴ　全世界半導体株インデックス","アイフリーネクストゼンセカイハンドウタイカブインデックス","内国投資信託受益証券","7月28日","","E06748","大和アセットマネジメント株式会社"
"G15599","","ステート・ストリート・ゴールド・オープン（為替ヘッジなし）／ステート・ストリート・ゴールド・オープン（為替ヘッジあり）","ステートストリートゴールドオープンカワセヘッジナシ　ステートストリートゴールドオープンカワセヘッジアリ","内国投資信託受益証券","6月20日","","E12963","ステート・ストリート・グローバル・アドバイザーズ株式会社"
"G15600","","ＤＣターゲット・イヤーファンド（ライフステージ対応型）２０７０　ＤＣターゲット・イヤーファンド（ライフステージ対応型）２０７５","ディーシーターゲット　イヤーファンド　ライフステージタイオウガタ　ニセンナナジュウ　ディーシーターゲット　イヤーファンド　ライフステージタイオウガタ　ニセンナナジュウゴ","内国投資信託受益証券","6月10日","","E12444","三井住友トラスト・アセットマネジメント株式会社"
"G15601","","モルガン・スタンレー　米国株式インサイト戦略ファンド（為替ヘッジあり）／（為替ヘッジなし）","モルガンスタンレーベイコクカブシキインサイトセンリャクファンドカワセヘッジアリカワセヘッジナシ","内国投資信託受益証券","5月25日","","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G15602","","三井物産グループのデジタル証券～川崎・商業～（譲渡制限付）","ミツイブッサングループノデジタルショウケンカワサキショウギョウジョウトセイゲンツキ","内国信託受益証券・信託受益権","4月末日","10月末日","E40784","オルタナ信託株式会社"
"G15603","","楽天・欧州株式インデックス・ファンド","ラクテン　オウシュウカブシキインデックス　ファンド","内国投資信託受益証券","4月22日","","E15787","楽天投信投資顧問株式会社"
"G15604","","楽天・米国成長株式・プレミアム・インカム・ファンド（毎月決算型）","ラクテン　ベイコクセイチョウカブシキ　プレミアム　インカム　ファンド　マイツキケッサンガタ","内国投資信託受益証券","6月15日","12月15日","E15787","楽天投信投資顧問株式会社"
"G15605","","ケネディクス・リアルティ・トークン　Ｗ　ＯＳＡＫＡ（デジタル名義書換方式）","ケネディクスリアルティトークンダブリューオオサカデジタルメイギカキカエホウシキ","内国信託受益証券・信託受益権","1月31日","7月31日","E03626","三菱ＵＦＪ信託銀行株式会社"
"G15606","","ニューバーガー・インド成長株ファンド（資産成長型）","ニューバーガーインドセイチョウカブファンドシサンセイチョウガタ","内国投資信託受益証券","1月9日","","E12447","朝日ライフ　アセットマネジメント株式会社"
"G15607","","ニューバーガー・インド成長株ファンド（年４回決算型）","ニューバーガーインドセイチョウカブファンドネンヨンカイケッサンガタ","内国投資信託受益証券","1月9日","7月9日","E12447","朝日ライフ　アセットマネジメント株式会社"
"G15608","","日本株式・ゴールドアロケーションファンド","ニホンカブシキ　ゴールドアロケーションファンド","内国投資信託受益証券","7月25日","","E32011","りそなアセットマネジメント株式会社"
"G15609","","全世界株式・ゴールドアロケーションファンド","ゼンセカイカブシキ　ゴールドアロケーションファンド","内国投資信託受益証券","7月25日","","E32011","りそなアセットマネジメント株式会社"
"G15610","","ニッセイ・インド株式オープン（資産成長型）","ニッセイインドカブシキオープンシサンセイチョウガタ","内国投資信託受益証券","8月23日","","E12453","ニッセイアセットマネジメント株式会社"
"G15611","","ニッセイ・インド株式オープン（３ヵ月決算型）","ニッセイインドカブシキオープンサンカゲツケッサンガタ","内国投資信託受益証券","2月23日","8月23日","E12453","ニッセイアセットマネジメント株式会社"
"G15612","","ニッセイ／シュローダー好利回りＣＢファンド２０２５－０９（為替ヘッジあり・限定追加型）","ニッセイシュローダーコウリマワリシービーファンドニゼロニゴゼロキュウカワセヘッジアリゲンテイツイカガタ","内国投資信託受益証券","9月15日","","E12453","ニッセイアセットマネジメント株式会社"
"G15613","","ニッセイ／シュローダー好利回りＣＢファンド２０２５－０９（為替ヘッジなし・限定追加型）","ニッセイシュローダーコウリマワリシービーファンドニゼロニゴゼロキュウカワセヘッジナシゲンテイツイカガタ","内国投資信託受益証券","9月15日","","E12453","ニッセイアセットマネジメント株式会社"
"G15614","","プロテクト水準毎年設定型・米国株式ファンド２０２５－０９（限定追加型）","プロテクトスイジュンマイトシセッテイガタベイコクカブシキファンドニゼロニゴゼロキュウゲンテイツイカガタ","内国投資信託受益証券","9月10日","","E12434","ＳＯＭＰＯアセットマネジメント株式会社"
"G15615","","ティー・ロウ・プライス　米国成長株式ファンド（毎月決算・予想分配金提示型）","ティーロウプライス　ベイコクセイチョウカブシキファンド　マイツキケッサン　ヨソウブンパイキンテイジガタ","内国投資信託受益証券","11月15日","5月15日","E33958","ティー・ロウ・プライス・ジャパン株式会社"
"G15616","","ティー・ロウ・プライス　米国オールキャップ株式ファンド（毎月決算・予想分配金提示型）","ティーロウプライス　ベイコクオールキャップカブシキファンド　マイツキケッサン　ヨソウブンパイキンテイジガタ","内国投資信託受益証券","11月15日","5月15日","E33958","ティー・ロウ・プライス・ジャパン株式会社"
"G15617","","野村グローバル高配当株プレミアム（米ドルコース）毎月分配型、野村グローバル高配当株プレミアム（米ドルコース）年２回決算型","ノムラグローバルコウハイトウカブプレミアムベイドルコースマイツキブンパイガタ　ノムラグローバルコウハイトウカブプレミアムネンニカイケッサンガタ","内国投資信託受益証券","5月17日","11月17日","E12460","野村アセットマネジメント株式会社"
"G15618","","ＳＢＩオルタナティブ・ハイインカム・セレクト・ファンド（年４回決算型）","エスビーアイ　オルタナティブ　ハイインカム　セレクト　ファンド　ネンヨンカイケッサンガタ","内国投資信託受益証券","1月20日","7月20日","E13447","ＳＢＩアセットマネジメント株式会社"
"G15619","404A0","グローバルＸ　チャイナテック・トップ１０　ＥＴＦ","グローバルエックスチャイナテックトップテンイーティーエフ","内国投資信託受益証券","2月10日","8月10日","E35933","Ｇｌｏｂａｌ　Ｘ　Ｊａｐａｎ株式会社"
"G15620","","カレラ英連邦３国ファンド","カレラエイレンポウサンゴクファンド","内国投資信託受益証券","3月20日","9月20日","E26704","カレラアセットマネジメント株式会社"
"G15621","","ｉＦｒｅｅＨＯＬＤ　日本国債（ＪＧＢ２０５６）","アイフリーホールドニホンコクサイジェージービーニゼロゴロク","内国投資信託受益証券","9月20日","","E06748","大和アセットマネジメント株式会社"
"G15622","408A0","ｉシェアーズ　ＡＩ　グローバル・イノベーション　アクティブ　ＥＴＦ","アイシェアーズ　エーアイ　グローバルイノベーション　アクティブ　イーティーエフ","内国投資信託受益証券","2月9日","8月9日","E09096","ブラックロック・ジャパン株式会社"
"G15623","","ドナルド・スミス　グローバル・ディープバリュー戦略株式ファンド","ドナルドスミスグローバルディープバリューセンリャクカブシキファンド","内国投資信託受益証券","8月28日","","E08957","三井住友ＤＳアセットマネジメント株式会社"
"G15624","","Ｏｎｅグローバル債券ファンド２０２５－１０（限定追加型）（為替ヘッジあり／為替ヘッジなし）","ワングローバルサイケンファンドニイゼロニイゴウイチゼロゲンテイツイカガタカワセヘッジアリカワセヘッジナシ","内国投資信託受益証券","10月18日","","E10677","アセットマネジメントＯｎｅ株式会社"
"G15625","","ジャパン・クリエイティブコンテンツ関連株ファンド","ジャパンクリエイティブコンテンツカンレンカブファンド","内国投資信託受益証券","2月12日","8月12日","E12441","ＳＢＩ岡三アセットマネジメント株式会社"
"G15626","","ＳＢＩ・Ｓ・米国高配当株式ファンド（年１回決算型）","エスビーアイ　エス　ベイコクコウハイトウカブシキファンド　ネンイッカイケッサンガタ","内国投資信託受益証券","9月28日","","E13447","ＳＢＩアセットマネジメント株式会社"
"G15627","","ＳＢＩ日本高配当株式ファンド（年１回決算型）","エスビーアイ　ニホンコウハイトウカブシキファンド　ネンイッカイケッサンガタ","内国投資信託受益証券","10月10日","","E13447","ＳＢＩアセットマネジメント株式会社"
"G15628","","ゴールデントリオ（米国株・インド株・ゴールド）（資産成長型／予想分配金提示型）","ゴールデントリオベイコクカブインドカブゴールドシサンセイチョウガタヨソウブンパイキンテイジガタ","内国投資信託受益証券","6月12日","12月12日","E06748","大和アセットマネジメント株式会社"
"G15629","","ニッセイ・Ｓ欧州株式５００インデックスファンド＜購入・換金手数料なし＞","ニッセイエスオウシュウカブシキゴヒャクインデックスファンドコウニュウカンキンテスウリョウナシ","内国投資信託受益証券","7月10日","","E12453","ニッセイアセットマネジメント株式会社"
"G15631","","アライアンス・バーンスタインＳＩＣＡＶ－セレクトＵＳエクイティ・ポートフォリオ","アライアンスバーンスタインシキャブセレクトユーエスエクイティポートフォリオ","外国投資証券","5月末日","","E14837","アライアンス・バーンスタインＳＩＣＡＶ"
"G15632","","全共連第４回劣後ローン流動化株式会社","ゼンキョウレンダイヨンカイレツゴローンリュウドウカカブシキガイシャ","内国資産流動化証券","6月末日","","E40947","全共連第４回劣後ローン流動化株式会社"
"G15633","426A0","ニッセイＥＴＦ　Ｓ＆Ｐ５００イコール・ウェイト（為替ヘッジなし）","ニッセイイーティーエフエスアンドピーゴヒャクイコールウェイトカワセヘッジナシ","内国投資信託受益証券","1月27日","7月27日","E12453","ニッセイアセットマネジメント株式会社"
"G15634","","ＳＢＩ　次世代テクノロジー戦略ファンド","エスビーアイ　ジセダイ　テクノロジー　センリャク　ファンド","内国投資信託受益証券","9月16日","","E13447","ＳＢＩアセットマネジメント株式会社"
"G15637","","フィデリティ・アクティブ・ラップファンド（スタンダード）　フィデリティ・アクティブ・ラップファンド（グロース）　フィデリティ・アクティブ・ラップファンド（アグレッシブ）","フィデリティアクティブラップファンドスタンダード　フィデリティアクティブラップファンドグロース　フィデリティアクティブラップファンドアグレッシブ","内国投資信託受益証券","8月20日","","E12481","フィデリティ投信株式会社"
"G15638","","ＨＳＢＣインド・インフラ株式オープン（毎月決算・予想分配金提示型）","エイチエスビーシーインドインフラカブシキオープンマイツキケッサンヨソウブンパイキンテイジガタ","内国投資信託受益証券","6月17日","12月17日","E12492","ＨＳＢＣアセットマネジメント株式会社"
"G15639","412A0","ＮＥＸＴ　ＦＵＮＤＳ　ＴＩＰ　ＦａｃｔＳｅｔ　台湾イノベイティブ・テクノロジー５０指数連動型上場投信","ネクストファンズティーアイピーファクトセットタイワンイノベイティブテクノロジーゴジュウシスウレンドウガタジョウジョウトウシン","内国投資信託受益証券","4月7日","10月7日","E12460","野村アセットマネジメント株式会社"
"G15640","","野村ＤＣ日本好配当株投信","ノムラディーシーニホンコウハイトウカブトウシン","内国投資信託受益証券","10月10日","","E12460","野村アセットマネジメント株式会社"
"G15641","","野村ＤＣグローバルＡＩ関連株式ファンド","ノムラディーシーグローバルエイアイカンレンカブシキファンド","内国投資信託受益証券","11月14日","","E12460","野村アセットマネジメント株式会社"
"G15642","","野村ＤＣグローバル・プライベート・エクイティ関連株式ファンド","ノムラディーシーグローバルプライベートエクイティカンレンカブシキファンド","内国投資信託受益証券","6月4日","","E12460","野村アセットマネジメント株式会社"
"G15643","","好利回り円債・短期戦略ファンド（年４回決算型）","コウキンリエンサイタンキセンリャクファンドネンヨンカイケッサンガタ","内国投資信託受益証券","5月15日","11月15日","E30703","マニュライフ・インベストメント・マネジメント株式会社"
"G15644","","好利回り円債・短期戦略ファンド（年１回決算型）","コウキンリエンサイタンキセンリャクファンドネンイッカイケッサンガタ","内国投資信託受益証券","11月15日","","E30703","マニュライフ・インベストメント・マネジメント株式会社"
"G15645","413A0","ｉＦｒｅｅＥＴＦ　キャセイ台湾テックリーダー指数","アイフリーイーティーエフキャセイタイワンテックリーダーシスウ","内国投資信託受益証券","4月7日","10月7日","E06748","大和アセットマネジメント株式会社"
"G15646","","ＫＪＲＭ・リアルティ・トークン汐留シティセンター（デジタル名義書換方式）","ケージェーアールエムリアルティトークンシオドメシティセンターデジタルメイギカキカエホウシキ","内国信託受益証券・信託受益権","5月1日","11月1日","E03626","三菱ＵＦＪ信託銀行株式会社"
"G15647","","ＭＵＦＧリアルティ・トークン渋谷神泉・両国森下（デジタル名義書換方式）","エムユーエフジーリアルティトークンシブヤシンセンリョウゴクモリシタデジタルメイギカキカエホウシキ","内国信託受益証券・信託受益権","5月1日","11月1日","E03626","三菱ＵＦＪ信託銀行株式会社"
"G15648","424A0","グローバルＸ　ゴールド　ＥＴＦ（為替ヘッジあり）","グローバルエックスゴールドイーティーエフカワセヘッジアリ","内国投資信託受益証券","3月10日","9月10日","E35933","Ｇｌｏｂａｌ　Ｘ　Ｊａｐａｎ株式会社"
"G15649","425A0","グローバルＸ　ゴールド　ＥＴＦ","グローバルエックスゴールドイーティーエフ","内国投資信託受益証券","3月10日","9月10日","E35933","Ｇｌｏｂａｌ　Ｘ　Ｊａｐａｎ株式会社"
"G15650","","たわらノーロード　ゴールド","タワラノーロード　ゴールド","内国投資信託受益証券","10月12日","","E10677","アセットマネジメントＯｎｅ株式会社"
"G15651","","Ｕ．Ｓ．ランド・ファンド（ケイマン）－ＧＲＴランド・インカム・アンド・グロース・ファンド","ユーエスランドファンドケイマンジーアールティーランドインカムアンドグロースファンド","外国投資信託受益証券","12月末日","","E40908","ＧＲＴキャピタル・マネジメント・リミテッド"
"G15652","","明治安田日本企業好利回り社債ファンド（限定追加型）２０２５－１１","メイジヤスダニホンキギョウコウリマワリシャサイファンドゲンテイツイカガタニセンニジュウゴノジュウイチ","内国投資信託受益証券","6月20日","","E12448","明治安田アセットマネジメント株式会社"
"G15653","","あおぞら・新グローバル分散ファンド（限定追加型）２０２５ー１０","アオゾラ　シングローバルブンサンファンド　ゲンテイツイカガタ　ニイゼロニイゴ　ジュウ","内国投資信託受益証券","10月20日","","E30689","あおぞら投信株式会社"
"G15654","435A0","ｉＦｒｅｅＥＴＦ　日本株配当ローテーション戦略","アイフリーイーティーエフニホンカブハイトウローテーションセンリャク","内国投資信託受益証券","1月7日","7月7日","E06748","大和アセットマネジメント株式会社"
"G15655","","デジタル証券「ｒｅｎｇａ」第１号～レジデンス（北品川）～","デジタルショウケンレンガダイイチゴウレジデンスキタシナガワ","内国有価証券投資事業権利等","4月末日","10月末日","E41002","ｒｅｎｇａ第１号合同会社"
"G15656","","パリミキ・ファミリーオフィス・ファンド","パリミキファミリーオフィスファンド","内国投資信託受益証券","2月25日","","E15786","株式会社パリミキアセットマネジメント"
"G15658","","野村日本バリュー厳選投資","ノムラニホンバリューゲンセントウシ","内国投資信託受益証券","9月18日","","E12460","野村アセットマネジメント株式会社"
"G15659","","東京海上・日本プライベートエクイティ戦略ファンドＳＴ２０２６ー１号（デジタル名義書換方式）","トウキョウカイジョウ　ニッポンプライベートエクイティセンリャクファンドエスティーニセンニジュウロク　イチゴウ　デジタルメイギカキカエホウシキ","内国信託受益証券・信託受益権","5月1日","","E39750","ＳＢＩ新生信託銀行株式会社"
"G15660","","ＳＭＴ　米国高配当＆自社株買いファンド（年４回決算型）","エスエムティー　ベイコクコウハイトウアンドジシャカブガイファンド　ネンヨンカイケッサンガタ","内国投資信託受益証券","3月15日","9月15日","E12444","三井住友トラスト・アセットマネジメント株式会社"
"G15661","","米国上場プライベートアセット（ＢＤＣ）ファンド（年４回分配型）","ベイコクジョウジョウプライベートアセット　ビーディーシー　ファンド　ネンヨンカイブンパイガタ","内国投資信託受益証券","5月20日","11月20日","E12430","アモーヴァ・アセットマネジメント株式会社"
"G15662","443A0","ｉＦｒｅｅＥＴＦ　東証ＲＥＩＴ指数（２・５・８・１１月決算型）","アイフリーイーティーエフトウショウリートシスウニゴハチジュウイチガツケッサンガタ","内国投資信託受益証券","2月4日","8月4日","E06748","大和アセットマネジメント株式会社"
"G15663","","ティー・ロウ・プライス　キャピタル・アプリシエーション・ファンド　Ａコース（為替ヘッジあり）／Ｂコース（為替ヘッジなし）","ティーロウプライス　キャピタルアプリシエーションファンド　エイコース　カワセヘッジアリ　ビーコース　カワセヘッジナシ","内国投資信託受益証券","3月24日","","E33958","ティー・ロウ・プライス・ジャパン株式会社"
"G15664","","ＳＢＩネクスト・フロンティア高配当株式ファンド（年１回決算型）","エスビーアイ　ネクスト　フロンティア　コウハイトウカブシキ　ファンド　ネンイッカイケッサンガタ","内国投資信託受益証券","11月20日","","E13447","ＳＢＩアセットマネジメント株式会社"
"G15665","","コモンズ・グローバル３０ファンド","コモンズグローバルサーティファンド","内国投資信託受益証券","9月18日","","E22096","コモンズ投信株式会社"
"G15666","","円建グローバル公社債ファンド（限定追加型）２０２５－１１","エンダテグローバルコウシャサイファンド　ゲンテイツイカガタ　ニイゼロニイゴー　イチイチ","内国投資信託受益証券","3月18日","","E32011","りそなアセットマネジメント株式会社"
"G15667","","ｆｕｎｄｎｏｔｅＴＯＢ企業価値ジャッジファンド","ファンドノートティーオービーキギョウカチジャッジファンド","内国投資信託受益証券","12月16日","","E40155","ｆｕｎｄｎｏｔｅ株式会社"
"G15668","","世界株式・クオンツ・ロングショートファンド（為替ヘッジなし／年４回決算型）　世界株式・クオンツ・ロングショートファンド（為替ヘッジあり／年４回決算型）","セカイカブシキクオンツロングショートファンドカワセヘッジナシネンヨンカイケッサンガタ　セカイカブシキクオンツロングショートファンドカワセヘッジアリネンヨンカイケッサンガタ","内国投資信託受益証券","5月16日","11月16日","E08957","三井住友ＤＳアセットマネジメント株式会社"
"G15669","","世界株式・クオンツ・ロングショートファンド（為替ヘッジなし／年１回決算型）　世界株式・クオンツ・ロングショートファンド（為替ヘッジあり／年１回決算型）","セカイカブシキクオンツロングショートファンドカワセヘッジナシネンイッカイケッサンガタ　セカイカブシキクオンツロングショートファンドカワセヘッジアリネンイッカイケッサンガタ","内国投資信託受益証券","11月16日","","E08957","三井住友ＤＳアセットマネジメント株式会社"
"G15670","447A0","ステート・ストリート・スパイダー　ゴールド　ＥＴＦ（為替ヘッジなし）","ステート　ストリート　スパイダー　ゴールド　イーティーエフ　カワセヘッジナシ","内国投資信託受益証券","10月20日","","E12963","ステート・ストリート・グローバル・アドバイザーズ株式会社"
"G15671","448A0","ステート・ストリート・スパイダー　ゴールド　ＥＴＦ（為替ヘッジあり）","ステート　ストリート　スパイダー　ゴールド　イーティーエフ　カワセヘッジアリ","内国投資信託受益証券","10月20日","","E12963","ステート・ストリート・グローバル・アドバイザーズ株式会社"
"G15672","449A0","ステート・ストリート・スパイダー　Ｓ＆Ｐ５００　ＥＴＦ（為替ヘッジなし）","ステート　ストリート　スパイダー　エスアンドピーゴヒャク　イーティーエフ　カワセヘッジナシ","内国投資信託受益証券","4月20日","10月20日","E12963","ステート・ストリート・グローバル・アドバイザーズ株式会社"
"G15673","450A0","ステート・ストリート・スパイダー　Ｓ＆Ｐ５００　ＥＴＦ（為替ヘッジあり）","ステート　ストリート　スパイダー　エスアンドピーゴヒャク　イーティーエフ　カワセヘッジアリ","内国投資信託受益証券","4月20日","10月20日","E12963","ステート・ストリート・グローバル・アドバイザーズ株式会社"
"G15674","451A0","ステート・ストリート・スパイダー　Ｓ＆Ｐ５００高配当株　ＥＴＦ","ステート　ストリート　スパイダー　エスアンドピーゴヒャク　コウハイトウカブ　イーティーエフ","内国投資信託受益証券","4月20日","10月20日","E12963","ステート・ストリート・グローバル・アドバイザーズ株式会社"
"G15675","452A0","ｉシェアーズ　Ｓ＆Ｐ　５００　プレミアムインカム　ＥＴＦ","アイシェアーズ　エスアンドピー　ゴヒャク　プレミアムインカム　イーティーエフ","内国投資信託受益証券","4月18日","10月18日","E09096","ブラックロック・ジャパン株式会社"
"G15676","453A0","ｉシェアーズ　米国債２０年超　プレミアムインカム　ＥＴＦ","アイシェアーズ　ベイコクサイニジュウネンチョウ　プレミアムインカム　イーティーエフ","内国投資信託受益証券","4月18日","10月18日","E09096","ブラックロック・ジャパン株式会社"
"G15677","","ブランデス欧州株ファンド","ブランデスオウシュウカブファンド","内国投資信託受益証券","12月7日","","E12444","三井住友トラスト・アセットマネジメント株式会社"
"G15678","","明治安田グローバル債券／バイ・ザ・ディップ戦略ファンド２０２５－１２","メイジヤスダグローバルサイケン　バイ　ザ　ディップセンリャクファンドニセンニジュウゴノジュウニ","内国投資信託受益証券","12月11日","","E12448","明治安田アセットマネジメント株式会社"
