ダウンロード実行日,2026年08月08日現在,件数,11376件
ＥＤＩＮＥＴコード,提出者種別,上場区分,連結の有無,資本金,決算日,提出者名,提出者名（英字）,提出者名（ヨミ）,所在地,提出者業種,証券コード,提出者法人番号
"E02677","内国法人・組合","非上場","無","18824","5月31日","三益半導体工業株式会社","MIMASU SEMICONDUCTOR INDUSTRY CO., LTD.","ミマスハンドウタイコウギョウカブシキガイシャ","高崎市保渡田町２１７４番地１","金属製品","","5070001009541"
"E02678","内国法人・組合","上場","有","5874","3月31日","株式会社立花エレテック","TACHIBANA ELETECH CO.,LTD.","カブシキガイシャ　タチバナエレテック","大阪市西区西本町１丁目１３番２５号","卸売業","81590","2120001049007"
"E02679","内国法人・組合","上場","無","4049","12月31日","株式会社東京ソワール","TOKYO SOIR CO.,LTD.","カブシキガイシャトウキョウソワール","中央区銀座七丁目１６番１２号","繊維製品","80400","8010401020803"
"E02681","内国法人・組合","上場","有","3379","10月31日","正栄食品工業株式会社","SHOEI FOODS CORPORATION","ショウエイショクヒンコウギョウカブシキガイシャ","台東区秋葉原５番７号","卸売業","80790","5010001139914"
"E02682","内国法人・組合","上場","有","8132","3月31日","カメイ株式会社","KAMEI CORPORATION","カメイカブシキガイシャ","仙台市青葉区国分町３丁目１番１８号","卸売業","80370","5370001003340"
"E02683","内国法人・組合","上場","有","1969","3月31日","ＤＡＩＫＯ　ＸＴＥＣＨ株式会社","DAIKO XTECH, Ltd.","ダイコウ　クロステックカブシキガイシャ","新宿区揚場町２番１号","卸売業","80230","2011101011783"
"E02684","内国法人・組合","上場","有","3075","3月31日","東海エレクトロニクス株式会社","TOKAI ELECTRONICS CO.,LTD.","トウカイエレクトロニクスカブシキガイシャ","名古屋市中区栄三丁目３４番１４号","卸売業","80710","4180001038563"
"E02685","内国法人・組合","非上場","有","13672","3月31日","菱洋エレクトロ株式会社","RYOYO ELECTRO CORPORATION","リョーヨーエレクトロカブシキガイシャ","中央区築地一丁目１２番２２号","卸売業","","8010001060398"
"E02686","内国法人・組合","上場","有","4603","3月31日","コニシ株式会社","KONISHI CO.,LTD.","コニシカブシキガイシャ","大阪市中央区道修町１丁目６番１０号","化学","49560","9120001077414"
"E02688","内国法人・組合","上場","有","84397","3月31日","ニプロ株式会社","NIPRO CORPORATION","ニプロカブシキガイシャ","摂津市千里丘新町３番２６号","精密機器","80860","8120001068678"
"E02690","内国法人・組合","非上場","有","1387","3月31日","株式会社ファミリー","FAMILY INC.","カブシキガイシャファミリー","千葉市中央区東千葉２－８－１５","小売業","","4040001006468"
"E02691","内国法人・組合","上場","無","15869","3月31日","株式会社ＰＡＬＴＡＣ","PALTAC CORPORATION","カブシキガイシャパルタック","大阪市中央区本町橋２番４６号","卸売業","82830","2120001077528"
"E02692","内国法人・組合","上場","有","4808","3月31日","三谷産業株式会社","MITANI SANGYO CO.,LTD.","ミタニサンギョウカブシキガイシャ","金沢市玉川町１番５号","卸売業","82850","5220001006845"
"E02693","内国法人・組合","上場","有","4150","3月31日","株式会社フォーバル","FORVAL CORPORATION","カブシキガイシャフォーバル","渋谷区神宮前五丁目５２番２号","卸売業","82750","4011001025865"
"E02695","内国法人・組合（有価証券報告書等の提出義務者以外）","","","667","","株式会社プロルート丸光","","カブシキガイシャプロルートマルミツ","大阪市中央区北久宝寺町二丁目１番３号","内国法人・組合（有価証券報告書等の提出義務者以外）","","5120001089000"
"E02696","内国法人・組合（有価証券報告書等の提出義務者以外）","","","5001","","株式会社テクノアソシエ","","カブシキガイシャテクノアソシエ","大阪市西区土佐堀３丁目３番１７号","内国法人・組合（有価証券報告書等の提出義務者以外）","","4120001039195"
"E02698","内国法人・組合","上場","有","3719","3月31日","株式会社マルイチ産商","MARUICHI Co.,Ltd.","カブシキガイシャマルイチサンショウ","長野市市場３番地４８","卸売業","82280","5100001003284"
"E02699","内国法人・組合","上場","有","3426","3月31日","株式会社　理経","RIKEI CORPORATION","カブシキガイシャ　リケイ","新宿区西新宿３丁目２番１１号","卸売業","82260","8011101022577"
"E02701","内国法人・組合","上場","無","5022","12月31日","トラスコ中山株式会社","TRUSCO NAKAYAMA CORPORATION","トラスコナカヤマカブシキガイシャ","港区新橋四丁目２８番１号","卸売業","98300","5120001108073"
"E02702","内国法人・組合","非上場","無","86","11月30日","リーバイ・ストラウス　ジャパン株式会社","LEVI STRAUSS JAPAN KABUSHIKI KAISHA","リーバイストラウス　ジャパン　カブシキガイシャ","港区西麻布２丁目２３－７","卸売業","","8010401092891"
"E02703","内国法人・組合","上場","有","3532","11月30日","モリト株式会社","MORITO CO.,LTD.","モリトカブシキガイシャ","大阪市中央区南本町４丁目２番４号","卸売業","98370","3120001077568"
"E02706","内国法人・組合","上場","有","6462","2月末日","アークランズ株式会社","ARCLANDS CORPORATION","アークランズカブシキガイシャ","三条市上須頃４４５番地","小売業","98420","4110001013829"
"E02708","内国法人・組合","上場","有","2201","3月31日","株式会社パーカーコーポレーション","PARKER  CORPORATION","カブシキガイシャ　パーカーコーポレーション","中央区日本橋人形町二丁目２２番１号","化学","98450","5010001054386"
"E02711","内国法人・組合","上場","有","2381","3月31日","株式会社共同紙販ホールディングス","KYODO PAPER HOLDINGS","カブシキガイシャキョウドウカミハンホールディングス","台東区北上野一丁目９番１２号住友不動産上野ビル６階","卸売業","98490","3010501032728"
"E02712","内国法人・組合","非上場","有","1608","3月31日","ＣＢグループマネジメント株式会社","CB GROUP MANAGEMENT Co., Ltd","シービーグループマネジメントカブシキガイシャ","港区南青山２丁目２番３号","卸売業","","8010401017915"
"E02713","内国法人・組合","上場","有","1533","3月31日","英和株式会社","EIWA CORPORATION","エイワカブシキガイシャ","大阪市西区北堀江４丁目１番７号","卸売業","98570","6120001041612"
"E02714","内国法人・組合","上場","有","100","3月31日","株式会社ケーユーホールディングス","KU HOLDINGS CO.,LTD.","カブシキガイシャケーユーホールディングス","町田市鶴間八丁目１７番１号","小売業","98560","9012301000743"
"E02718","内国法人・組合","上場","有","2293","3月31日","ソレキア株式会社","Solekia Limited","ソレキアカブシキガイシャ","大田区西蒲田８丁目１６番６号","卸売業","98670","1010801004073"
"E02719","内国法人・組合","上場","有","5934","9月30日","加藤産業株式会社","KATO SANGYO CO.,LTD.","カトウサンギョウカブシキガイシャ","西宮市松原町９番２０号","卸売業","98690","6140001068331"
"E02722","内国法人・組合","上場","有","2220","11月20日","北恵株式会社","KITAKEI CO.,LTD","キタケイカブシキガイシャ","大阪市中央区南本町３丁目６番１４号　　イトウビル","卸売業","98720","7120001077804"
"E02724","内国法人・組合","上場","有","10517","3月31日","イノテック株式会社","INNOTECH CORPORATION","イノテックカブシキガイシャ","横浜市港北区新横浜三丁目１７番地６号","電気機器","98800","8020001019484"
"E02727","内国法人・組合","上場","有","100","3月31日","株式会社　シャルレ","CHARLE CO.,LTD.","カブシキガイシャ　シャルレ","神戸市中央区港島中町七丁目７番１号","卸売業","98850","6140001008568"
"E02728","内国法人・組合","上場","有","1512","3月31日","株式会社ＵＥＸ","UEX, LTD.","カブシキガイシャウエックス","品川区東品川二丁目２番２４号","卸売業","98880","9010701001205"
"E02729","内国法人・組合","上場","有","4713","3月31日","ＪＢＣＣホールディングス株式会社","JBCC Holdings Inc.","ジェイビーシーシーホールディングスカブシキカイシャ","中央区八重洲二丁目２番１号（東京ミッドタウン八重洲　八重洲セントラルタワー）","情報・通信業","98890","6010801009068"
"E02732","内国法人・組合","上場","有","2600","3月31日","ＪＫホールディングス株式会社","JK Holdings Co.,Ltd.","ジェイケーホールディングスカブシキカイシャ","江東区新木場一丁目７番２２号","卸売業","98960","4010601027156"
"E02734","内国法人・組合","非上場","有","275","3月31日","株式会社サハダイヤモンド","SAKHA DIAMOND Corp.","カブシキガイシャサハダイヤモンド","台東区浅草橋３－３４－１０－２０２","卸売業","","1010601031144"
"E02735","内国法人・組合","上場","有","15072","3月31日","株式会社イエローハット","YELLOW HAT LTD.","カブシキガイシャイエローハット","大田区北千束１－４－６","卸売業","98820","1010001126172"
"E02738","内国法人・組合","上場","有","1585","3月31日","株式会社　ストライダーズ","Striders Corporation","カブシキガイシャ　ストライダーズ","中央区日本橋室町四丁目６番２号","卸売業","98160","5010401094750"
"E02739","内国法人・組合","上場","有","870","3月31日","大丸エナウィン株式会社","DAIMARU.ENAWIN CO.,LTD.","ダイマルエナウィンカブシキガイシャ","大阪市住之江区緑木１－４－３９","卸売業","98180","6120001031150"
"E02740","内国法人・組合","上場","有","1072","3月31日","エムティジェネックス株式会社","MT GENEX CORPORATION","エムティジェネックスカブシキガイシャ","港区虎ノ門５丁目１３番１号","不動産業","98200","4010401039616"
"E02742","内国法人・組合","上場","有","2575","10月31日","泉州電業株式会社","SENSHU ELECTRIC CO.,LTD.","センシュウデンギョウカブシキガイシャ","吹田市南金田一丁目４番２１号","卸売業","98240","2120001066027"
"E02743","内国法人・組合","上場","無","3335","12月31日","リリカラ株式会社","Lilycolor Co., Ltd.","リリカラカブシキガイシャ","新宿区西新宿７丁目５番２０号","卸売業","98270","2011101022797"
"E02745","内国法人・組合","上場","無","5368","3月31日","株式会社日伝","nichiden corporation","カブシキガイシャニチデン","大阪市中央区上本町西１丁目２番１６号","卸売業","99020","8120001077522"
"E02747","内国法人・組合","上場","有","1883","3月31日","藤井産業株式会社","Fujii Sangyo Corporation","フジイサンギョウカブシキガイシャ","宇都宮市平出工業団地４１番地３","卸売業","99060","2060001003812"
"E02749","内国法人・組合","上場","有","1159","3月31日","日本電計株式会社","NIHON DENKEI CO.,LTD.","ニホンデンケイカブシキガイシャ","台東区上野５丁目１４番１２号","卸売業","99080","9010501010505"
"E02750","内国法人・組合","非上場","無","611","3月20日","愛光電気株式会社","AIKO CORPORATION","アイコウデンキカブシキカイシャ","小田原市西大友２０５番地２","卸売業","","9021001032237"
"E02751","内国法人・組合（有価証券報告書等の提出義務者以外）","","","11813","","ダイワボウ情報システム株式会社","","ダイワボウジョウホウシステムカブシキガイシャ","大阪市北区中之島３ー２－４　中之島フェスティバルタワーウエスト１０Ｆ","内国法人・組合（有価証券報告書等の提出義務者以外）","","6120001083217"
"E02752","内国法人・組合","上場","有","3137","3月31日","日邦産業株式会社","NIPPO LTD.","ニッポウサンギョウカブシキガイシャ","名古屋市中区錦一丁目１０番１号","卸売業","99130","1120901007832"
"E02753","内国法人・組合","上場","無","1017","3月20日","株式会社　植松商会","uematsu shokai co.,ltd.","カブシキガイシャ　ウエマツショウカイ","仙台市若林区卸町三丁目７番地の５","卸売業","99140","1370001002651"
"E02759","内国法人・組合","上場","有","2107","3月31日","平和紙業株式会社","HEIWA PAPER CO., LTD.","ヘイワシギョウカブシキガイシャ","中央区新川１－２２－１１","卸売業","99290","5120001089074"
"E02760","内国法人・組合","上場","有","2597","3月31日","杉本商事株式会社","SUGIMOTO & CO.,LTD.","スギモトショウジカブシキガイシャ","大阪市西区立売堀５丁目７番２７号","卸売業","99320","9120001044397"
"E02761","内国法人・組合","上場","有","14529","3月31日","因幡電機産業株式会社","INABA DENKI SANGYO CO.,LTD.","イナバデンキサンギョウカブシキガイシャ","大阪市西区立売堀四丁目１１番１４号","卸売業","99340","1120001041352"
"E02762","内国法人・組合","上場","無","257","9月30日","太洋物産株式会社","TAIYO BUSSAN KAISHA,LTD.","タイヨウブッサンカブシキガイシャ","新宿区市谷砂土原町三丁目５番地","卸売業","99410","5010001049188"
"E02765","内国法人・組合","上場","有","2187","3月31日","株式会社ヨンキュウ","THE YONKYU CO., LTD.","カブシキガイシャヨンキュウ","宇和島市築地町２丁目３１８番地２３５","卸売業","99550","5500001015561"
"E02766","内国法人・組合","非上場","有","5244","3月31日","株式会社バイテックホールディングス","VITEC HOLDINGS CO.,LTD.","カブシキガイシャバイテックホールディングス","品川区東品川三丁目６番５号","卸売業","","8010701008192"
"E02767","内国法人・組合","上場","有","6000","2月末日","株式会社ワールド","WORLD CO.,LTD.","カブシキガイシャワールド","神戸市中央区港島中町６丁目８番１","卸売業","36120","4140001024328"
"E02769","内国法人・組合","上場","有","1857","3月31日","東テク株式会社","TOTECH CORPORATION","トウテクカブシキガイシャ","中央区日本橋本町三丁目１１番１１号","卸売業","99600","2010001051477"
"E02770","内国法人・組合","上場","有","13859","3月31日","株式会社　ミスミグループ本社","MISUMI Group Inc.","カブシキガイシャミスミグループホンシャ","千代田区九段南一丁目６番５号","卸売業","99620","6010601006372"
"E02772","内国法人・組合（有価証券報告書等の提出義務者以外）","","","820","","堺商事株式会社","","サカイショウジカブシキガイシャ","大阪市北区中之島３丁目２番４号","内国法人・組合（有価証券報告書等の提出義務者以外）","","9120001077422"
"E02773","内国法人・組合","上場","有","2940","3月31日","山喜株式会社","YAMAKI CO.,LTD.","ヤマキカブシキガイシャ","大阪市中央区上町１丁目３番１号","繊維製品","35980","3120001080679"
"E02774","内国法人・組合","上場","有","5527","11月30日","アルテック株式会社","ALTECH CO., LTD.","アルテックカブシキガイシャ","中央区入船２丁目１番１号","卸売業","99720","6010001142875"
"E02775","内国法人・組合","上場","有","417","12月31日","ＫＯＺＯホールディングス株式会社","KOZO Holdings Co., Ltd.","コゾーホールディングスカブシキガイシャ","日本橋蛎殻町一丁目５番６号","小売業","99730","6012801009114"
"E02776","内国法人・組合","上場","有","3622","2月末日","タキヒヨー株式会社","Takihyo Co., Ltd.","タキヒヨーカブシキガイシャ","名古屋市西区牛島町６番１号","卸売業","99820","7180001037793"
"E02778","内国法人・組合","上場","有","238772","3月31日","ソフトバンクグループ株式会社","SoftBank Group Corp.","ソフトバンクグループカブシキガイシャ","港区海岸一丁目７番１号","情報・通信業","99840","1010401056795"
"E02779","内国法人・組合","上場","有","2077","3月31日","蔵王産業株式会社","ZAOH COMPANY, LTD.","ザオウサンギョウカブシキカイシャ","江東区毛利１丁目１９番５号","卸売業","99860","3010601019393"
"E02780","内国法人・組合","上場","有","13546","3月31日","株式会社スズケン","SUZUKEN CO.,LTD.","カブシキガイシャスズケン","名古屋市東区東片端町８番地","卸売業","99870","1180001017009"
"E02782","内国法人・組合","上場","有","4398","3月31日","ジェコス株式会社","GECOSS CORPORATION","ジェコスカブシキガイシャ","文京区後楽二丁目５番１号","卸売業","99910","2010001069981"
"E02784","内国法人・組合","非上場","有","1102","10月31日","株式会社理研グリーン","RIKENGREEN CO., LTD.","カブシキガイシャリケングリーン","台東区東上野四丁目８番１号","卸売業","","6010501014707"
"E02785","内国法人・組合","非上場","有","5042","3月31日","株式会社グローセル","Glosel Co., Ltd.","カブシキガイシャグローセル","千代田区神田司町二丁目１番地","卸売業","","6010001036937"
"E02786","内国法人・組合","上場","有","1405","3月31日","株式会社サトー商会","Satoh&Co.,Ltd.","カブシキガイシャサトーショウカイ","仙台市宮城野区扇町五丁目６番２２号","卸売業","99960","7370001005153"
"E02787","内国法人・組合","上場","有","1000","3月31日","株式会社タカチホ","Takachiho Co.,Ltd","カブシキガイシャタカチホ","長野市大豆島５８８８番地","卸売業","82250","9100001001862"
"E02791","内国法人・組合","上場","有","920","3月31日","株式会社創健社","Sokensha Co., Ltd.","カブシキガイシャソウケンシャ","横浜市神奈川区片倉二丁目３７番１１号","卸売業","74130","1020001023559"
"E02792","内国法人・組合","上場","有","1181","3月31日","株式会社南陽","NANYO CORPORATION","カブシキガイシャナンヨウ","福岡市博多区博多駅前三丁目１９番８号","卸売業","74170","5290001015146"
"E02793","内国法人・組合","非上場","有","2611","5月31日","佐鳥電機株式会社","SATORI ELECTRIC CO.,LTD.","サトリデンキカブシキガイシャ","港区芝一丁目１４番１０号","卸売業","","3010401011559"
"E02794","内国法人・組合","上場","無","961","12月20日","東邦レマック株式会社","TOHO LAMAC CO., LTD.","トウホウレマックカブシキガイシャ","文京区湯島三丁目４２番６号","卸売業","74220","2010001005342"
"E02796","内国法人・組合","非上場","無","520","9月30日","株式会社アドバンス","ADVANCE CO., LTD.","カブシキガイシャアドバンス","中央区東日本橋一丁目４番６号","卸売業","","2010001035884"
"E02797","内国法人・組合","上場","無","885","12月31日","初穂商事株式会社","HATSUHO SHOUJI CO.,LTD.","ハツホショウジカブシキガイシャ","名古屋市中区錦二丁目１４番２１号","卸売業","74250","2180001039869"
"E02798","内国法人・組合","上場","有","1103","3月31日","株式会社　山大","Yamadai Corporation","カブシキガイシャ　ヤマダイ","石巻市潮見町２番地の３","卸売業","74260","6370301001357"
"E02799","内国法人・組合","非上場","有","1387","9月30日","株式会社ダルトン","DALTON corporation","カブシキガイシャダルトン","中央区築地五丁目６番１０号","卸売業","","8011101012660"
"E02800","内国法人・組合","上場","有","1491","12月31日","ビーピー・カストロール株式会社","BP Castrol K.K.","ビーピー　カストロール　カブシキガイシャ","品川区大崎一丁目１１番２号","石油・石炭製品","50150","9010701017069"
"E02801","内国法人・組合","上場","有","1988","2月末日","エコートレーディング株式会社","ECHO TRADING CO.,LTD.","エコートレーディングカブシキガイシャ","大阪市淀川区宮原１丁目２番４号","卸売業","74270","4140001068093"
"E02802","内国法人・組合","上場","有","8100","3月31日","伯東株式会社","Hakuto Co.,Ltd.","ハクトウカブシキガイシャ","新宿区新宿一丁目１番１３号","卸売業","74330","7011101017256"
"E02803","内国法人・組合","上場","無","1312","5月31日","株式会社オータケ","OTAKE CORPORATION","カブシキガイシャオータケ","名古屋市中区丸の内２丁目１番８号","卸売業","74340","9180001029707"
"E02804","内国法人・組合","上場","有","2666","3月31日","コンドーテック株式会社","kondotec inc.","コンドーテックカブシキガイシャ","大阪市西区境川２丁目２番１号","卸売業","74380","6120001043369"
"E02805","内国法人・組合","上場","無","1706","3月31日","中山福株式会社","NAKAYAMAFUKU CO.,LTD.","ナカヤマフクカブシキガイシャ","大阪市中央区島之内一丁目２２番９号","卸売業","74420","9120001077505"
"E02806","内国法人・組合","上場","有","829","3月31日","横浜魚類株式会社","yokohama gyorui co.,ltd.","ヨコハマギョルイカブシキガイシャ","横浜市神奈川区山内町１番地","卸売業","74430","5020001030634"
"E02807","内国法人・組合","上場","有","719","3月31日","ハリマ共和物産株式会社","Harima-Kyowa Co.,LTD.","ハリマキョウワブッサンカブシキガイシャ","姫路市飾東町庄３１３番地","卸売業","74440","1140001060846"
"E02809","内国法人・組合","上場","有","1925","8月31日","ナガイレーベン株式会社","NAGAILEBEN Co.,Ltd.","ナガイレーベンカブシキガイシャ","千代田区鍛冶町二丁目１番１０号","卸売業","74470","5010001025214"
"E02810","内国法人・組合","上場","有","820","9月30日","東北化学薬品株式会社","TOHOKU  CHEMICAL  CO.,  LTD.","トウホクカガクヤクヒンカブシキガイシャ","弘前市大字神田一丁目３番地の１","卸売業","74460","5420001009282"
"E02812","内国法人・組合","上場","有","1585","3月31日","八洲電機株式会社","Yashima Denki Co.,Ltd.","ヤシマデンキカブシキガイシャ","港区新橋三丁目１番１号","卸売業","31530","9010401029819"
"E02813","内国法人・組合","上場","有","1690","3月31日","株式会社Ｍｉｓｕｍｉ","MISUMI CO., LTD.","カブシキガイシャミスミ","鹿児島市卸本町７番地２０","卸売業","74410","4340001004160"
"E02814","内国法人・組合","非上場","有","4028","3月31日","日本酒類販売株式会社","NIHONSHURUIHANBAI CO.,LTD.","ニホンシュルイハンバイカブシキガイシャ","中央区新川一丁目２５番４号","卸売業","","8010001062097"
"E02818","内国法人・組合","上場","有","100","3月31日","株式会社大水","DAISUI CO.,LTD.","カブシキガイシャダイスイ","大阪市福島区野田一丁目１番８６号　大阪市中央卸売市場内","卸売業","75380","4120001034601"
"E02819","内国法人・組合","非上場","有","3840","3月31日","興和株式会社","KOWA COMPANY, LTD.","コウワカブシキガイシャ","名古屋市中区錦三丁目６番２９号","卸売業","","1180001035811"
"E02821","内国法人・組合","上場","有","3559","3月31日","松田産業株式会社","MATSUDA SANGYO Co.,Ltd.","マツダサンギョウカブシキガイシャ","新宿区西新宿一丁目２６番２号","卸売業","74560","2011101020140"
"E02823","内国法人・組合","上場","有","793","3月31日","株式会社キムラ","KIMURA CO.,LTD.","カブシキガイシャキムラ","札幌市東区北６条東４丁目１番地７","卸売業","74610","4430001023985"
"E02824","内国法人・組合","上場","有","12350","3月31日","株式会社第一興商","DAIICHIKOSHO CO. , LTD.","カブシキガイシャダイイチコウショウ","港区三田３丁目９番６号","卸売業","74580","6010701005431"
"E02825","内国法人・組合","上場","有","1088","3月31日","株式会社ヤギ","YAGI & CO.,LTD.","カブシキガイシャヤギ","大阪市中央区久太郎町二丁目２番８号","卸売業","74600","6120001077581"
"E02826","内国法人・組合","上場","有","12500","3月31日","株式会社アドヴァン","ADVAN CO .,LTD.","カブシキガイシャ　アドヴァン","渋谷区神宮前４丁目３２番１４号","卸売業","74630","2011001001075"
"E02827","内国法人・組合","上場","有","898","3月31日","ＳＰＫ株式会社","SPK CORPORATION","エスピーケイカブシキガイシャ","大阪市福島区福島五丁目５番４号","卸売業","74660","9120001034407"
"E02828","内国法人・組合","非上場","有","6099","3月31日","萩原電気ホールディングス株式会社","HAGIWARA ELECTRIC HOLDINGS CO.,LTD.","ハギワラデンキホールディングスカブシキガイシャ","名古屋市東区東桜二丁目２番１号","卸売業","","3180001017956"
"E02832","内国法人・組合","上場","有","4908","3月31日","アルビス株式会社","ALBIS Co.,Ltd.","アルビス　カブシキガイシャ","射水市流通センター水戸田三丁目４番地","小売業","74750","3230001012605"
"E02833","内国法人・組合","上場","無","1148","3月31日","株式会社鳥羽洋行","TOBA,INC.","カブシキガイシャトバヨウコウ","文京区水道２－８－６","卸売業","74720","9010001005600"
"E02835","内国法人・組合","上場","有","5075","3月31日","アズワン株式会社","AS ONE CORPORATION","アズワンカブシキガイシャ","大阪市西区江戸堀２－１－２７","卸売業","74760","8120001060544"
"E02836","内国法人・組合","上場","有","100","3月31日","ムラキ株式会社","MURAKI CORPORATION","ムラキカブシキガイシャ","多摩市関戸二丁目２４番地２７","卸売業","74770","6013401005189"
"E02837","内国法人・組合","上場","有","1305","3月31日","尾家産業株式会社","oie sangyo co.,ltd","オイエサンギョウカブシキガイシャ","大阪市北区豊崎六丁目１１番２７号","卸売業","74810","5120001061479"
"E02838","内国法人・組合","上場","有","1819","3月31日","スズデン株式会社","SUZUDEN CORPORATION","スズデンカブシキガイシャ","千代田区外神田二丁目２番３号","卸売業","74800","1010001003966"
"E02839","内国法人・組合","上場","有","1405","3月31日","株式会社シモジマ","SHIMOJIMA Co.,Ltd.","カブシキガイシャシモジマ","台東区浅草橋５丁目２９番８号","卸売業","74820","4010501024971"
"E02840","内国法人・組合","上場","有","4993","3月31日","株式会社ドウシシャ","DOSHISHA CO.,LTD.","カブシキガイシャ　ドウシシャ","大阪市中央区東心斎橋１－５－５","卸売業","74830","8120001039126"
"E02841","内国法人・組合","上場","有","1512","3月31日","サンリン株式会社","sanrin co.,ltd.","サンリンカブシキガイシャ","東筑摩郡山形村字下本郷４０８２番地３","卸売業","74860","4100001014423"
"E02842","内国法人・組合","上場","有","1322","5月31日","小津産業株式会社","ozu corporation","オヅサンギョウカブシキガイシャ","中央区日本橋本町三丁目６番２号","卸売業","74870","8010001039269"
"E02843","内国法人・組合","上場","有","787","4月20日","株式会社ヤガミ","YAGAMI INC.","カブシキガイシャヤガミ","名古屋市中区丸の内三丁目２番２９号","卸売業","74880","4180001041518"
"E02845","内国法人・組合","上場","有","3624","3月31日","日新商事株式会社","NISSIN SHOJI CO., LTD.","ニッシンショウジカブシキカイシャ","港区芝浦一丁目１２番３号","卸売業","74900","4010401033255"
"E02847","内国法人・組合","上場","無","569","6月30日","西川計測株式会社","nishikawa keisoku co.,ltd.","ニシカワケイソクカブシキガイシャ","渋谷区代々木三丁目２２番７号","卸売業","75000","1010401021428"
"E02848","内国法人・組合","上場","無","1079","11月30日","株式会社ティムコ","TIEMCO LTD.","カブシキカイシャティムコ","墨田区菊川三丁目１番１１号","卸売業","75010","6010601021421"
"E02850","内国法人・組合","上場","有","1690","3月31日","株式会社高速","KOHSOKU CORPORATION","カブシキガイシャコウソク","仙台市宮城野区扇町七丁目４番２０号","卸売業","75040","4370001005032"
"E02851","内国法人・組合","上場","有","3384","3月31日","株式会社たけびし","TAKEBISHI CORPORATION","カブシキガイシャタケビシ","京都市右京区西京極豆田町２９番地","卸売業","75100","1130001001272"
"E02853","内国法人・組合（有価証券報告書等の提出義務者以外）","","","10045","","黒田電気株式会社","","クロダデンキカブシキガイシャ","大阪市淀川区木川東４丁目１１番３号","内国法人・組合（有価証券報告書等の提出義務者以外）","","1120001055006"
"E02854","内国法人・組合","非上場","有","59","3月31日","五洋インテックス株式会社","GOYO INTEX CO.,LTD","ゴヨウインテックスカブシキガイシャ","小牧市小木５丁目４１１番地","卸売業","","3180001075780"
"E02855","内国法人・組合","上場","有","1208","3月31日","株式会社ムサシ","MUSASHI CO.,LTD.","カブシキガイシャムサシ","中央区銀座八丁目２０番３６号","卸売業","75210","6010001058667"
"E02856","内国法人・組合","上場","有","827","3月31日","リックス株式会社","RIX CORPORATION","リックスカブシキガイシャ","福岡市博多区東比恵１－４－１０　Ｓ－ＧＡＴＥ　ＦＩＴ　東比恵５Ｆ","卸売業","75250","5290001017448"
"E02858","内国法人・組合","上場","有","1706","9月30日","株式会社システムソフト","SystemSoft Corporation","カブシキガイシャシステムソフト","千代田区丸の内一丁目８番１号","情報・通信業","75270","7290001017693"
"E02861","内国法人・組合","上場","有","735","12月31日","清和中央ホールディングス株式会社","SEIWA CHUO HOLDINGS CORPORATION","セイワチュウオウホールディングスカブシキガイシャ","大阪市西区九条南３丁目１番２０号","卸売業","75310","2120001044593"
"E02864","内国法人・組合","上場","有","6214","3月31日","丸文株式会社","MARUBUN CORPORATION","マルブンカブシキガイシャ","中央区日本橋大伝馬町８番１号","卸売業","75370","8010001057337"
"E02865","内国法人・組合","上場","有","896","9月30日","株式会社アイナボホールディングス","AINAVO HOLDINGS Co., Ltd.","カブシキガイシャアイナボホールディングス","台東区元浅草二丁目６番６号　東京日産台東ビル４階","卸売業","75390","9011801005756"
"E02869","内国法人・組合","上場","有","2751","3月31日","株式会社ハピネット","HAPPINET CORPORATION","カブシキガイシャハピネット","台東区駒形二丁目４番５号","卸売業","75520","5010501011416"
"E02870","内国法人・組合","上場","有","852","3月31日","株式会社ウェッズ","WEDS CO., LTD.","カブシキカイシャ　ウェッズ","大田区大森北１－６－８","卸売業","75510","7010801014505"
"E02871","内国法人・組合","上場","無","551","3月31日","株式会社大田花き","Ota Floriculture Auction Co.,Ltd.","カブシキガイシャオオタカキ","大田区東海二丁目２番１号","卸売業","75550","7010801002063"
"E02874","内国法人・組合","非上場","有","100","3月31日","ジーエフシー株式会社","GLOBAL FOOD CREATORS CO.,LTD.","ジーエフシーカブシキガイシャ","羽島郡笠松町田代９７８番地の１","卸売業","","8200001011101"
"E02875","内国法人・組合","上場","有","1005","3月31日","萬世電機株式会社","MANSEI CORPORATION","マンセイデンキカブシキガイシャ","大阪市福島区福島７丁目１５番５号","卸売業","75650","2120001036483"
"E02876","内国法人・組合","上場","有","565","3月31日","株式会社ケー・エフ・シー","KFC Ltd","カブシキガイシャケーエフシー","大阪市北区西天満３－２－１７","金属製品","34200","3120001063188"
"E02877","内国法人・組合","上場","有","412","12月31日","株式会社デイトナ","DAYTONA CORPORATION","カブシキガイシャデイトナ","周智郡森町一宮４８０５番地","輸送用機器","72280","3080401017525"
"E02878","内国法人・組合","上場","有","500","3月31日","株式会社栄電子","SAKAE ELECTRONICS CORPORATION","カブシキガイシャサカエデンシ","千代田区外神田二丁目９番１０号","卸売業","75670","5010001017343"
"E02879","内国法人・組合","上場","有","542","3月31日","橋本総業ホールディングス株式会社","HASHIMOTO SOGYO HOLDINGS CO.,LTD.","ハシモト　ソウギョウ　ホールディングス　カブシキガイシャ","中央区日本橋小伝馬町１４番７号","卸売業","75700","9010001054242"
